DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
01/01/95,0000,16.1700000,17.5700000,15.7000000,17.0500000,0
02/01/95,0000,17.0900000,17.5200000,16.7600000,17.2200000,0
03/01/95,0000,17.2500000,18.3900000,16.1600000,18.0000000,0
04/01/95,0000,17.9500000,19.4100000,17.7900000,19.3100000,0
05/01/95,0000,19.5000000,19.6100000,17.2800000,17.6700000,0
06/01/95,0000,17.7500000,18.6700000,16.2800000,16.4700000,0
07/01/95,0000,16.4600000,16.9500000,15.1600000,15.8300000,0
08/01/95,0000,15.9700000,16.8900000,15.2300000,16.2000000,0
09/01/95,0000,16.2300000,17.3100000,16.0200000,16.4800000,0
10/01/95,0000,16.6900000,16.9400000,15.5100000,16.5300000,0
11/01/95,0000,16.5700000,17.4000000,16.3700000,17.2200000,0
12/01/95,0000,17.2200000,18.9500000,17.1400000,18.7800000,0
01/01/96,0000,18.8400000,19.8200000,16.2100000,16.6400000,0
02/01/96,0000,16.7200000,19.4900000,16.1700000,18.7400000,0
03/01/96,0000,18.8800000,22.0100000,18.2700000,20.4100000,0
04/01/96,0000,20.4000000,24.0000000,18.9000000,19.2200000,0
05/01/96,0000,19.2100000,20.1000000,17.1500000,17.9000000,0
06/01/96,0000,18.1900000,19.0000000,17.6000000,18.7100000,0
07/01/96,0000,18.6500000,20.8700000,18.6500000,19.0600000,0
08/01/96,0000,18.5600000,21.3900000,18.3600000,20.4000000,0
09/01/96,0000,20.4900000,23.6400000,20.1200000,22.6700000,0
10/01/96,0000,22.4600000,24.8500000,21.8200000,21.8200000,0
11/01/96,0000,24.0300000,24.7600000,21.2000000,23.1200000,0
12/01/96,0000,22.9700000,25.0200000,22.0800000,23.5600000,0
01/01/97,0000,23.5600000,25.2900000,22.4300000,22.8200000,0
02/01/97,0000,23.4800000,23.4800000,19.4000000,19.4000000,0
03/01/97,0000,19.7700000,19.8000000,18.3900000,18.5800000,0
04/01/97,0000,18.1600000,18.2700000,16.7300000,18.2100000,0
05/01/97,0000,18.1500000,20.0900000,17.6700000,19.2000000,0
06/01/97,0000,19.5700000,19.5700000,16.6500000,18.2600000,0
07/01/97,0000,18.4200000,19.1500000,17.7000000,19.1200000,0
08/01/97,0000,19.1200000,19.9300000,17.8100000,18.2500000,0
09/01/97,0000,18.2500000,19.9100000,17.6600000,19.8600000,0
10/01/97,0000,20.0600000,21.7900000,19.0800000,19.5200000,0
11/01/97,0000,19.6200000,19.9200000,18.4400000,18.9700000,0
12/01/97,0000,18.2700000,18.2700000,15.9400000,15.9400000,0
01/01/98,0000,15.9400000,16.2600000,14.1200000,15.5700000,0
02/01/98,0000,16.1700000,16.1700000,12.8900000,13.4200000,0
03/01/98,0000,13.3900000,15.1000000,10.8400000,13.7700000,0
04/01/98,0000,13.8400000,14.1300000,12.4200000,13.9900000,0
05/01/98,0000,14.0500000,14.8300000,13.8200000,14.1200000,0
06/01/98,0000,13.9000000,14.0300000,10.1900000,11.8800000,0
07/01/98,0000,11.8000000,12.7900000,11.2300000,12.5500000,0
08/01/98,0000,12.6700000,13.7200000,11.0000000,11.9500000,0
09/01/98,0000,11.7600000,14.8400000,11.7400000,14.7800000,0
10/01/98,0000,14.7700000,14.9800000,11.2200000,12.3100000,0
11/01/98,0000,12.1900000,12.4600000,9.8200000,10.0600000,0
12/01/98,0000,10.0800000,10.8600000,9.0000000,10.5700000,0
01/01/99,0000,10.4500000,12.1000000,10.1500000,11.4700000,0
02/01/99,0000,11.4900000,11.5200000,9.6500000,10.4800000,0
03/01/99,0000,10.5400000,15.0900000,10.1500000,15.0900000,0
04/01/99,0000,14.5700000,16.7600000,13.7000000,16.7100000,0
05/01/99,0000,16.5500000,16.9500000,14.0100000,14.7500000,0
06/01/99,0000,14.4500000,17.0700000,13.8100000,17.0700000,0
07/01/99,0000,17.2000000,20.1400000,17.0500000,19.2000000,0
08/01/99,0000,20.1400000,21.1400000,19.1200000,21.0300000,0
09/01/99,0000,20.8600000,23.4200000,20.3200000,22.8100000,0
10/01/99,0000,22.8100000,23.3000000,20.5500000,21.1500000,0
11/01/99,0000,21.3600000,26.2700000,21.3100000,24.3900000,0
12/01/99,0000,24.1000000,26.6400000,24.1000000,24.8900000,0
01/01/00,0000,25.0800000,27.7500000,22.6400000,26.9200000,0
02/01/00,0000,26.9200000,29.0400000,26.7700000,29.0400000,0
03/01/00,0000,29.0400000,32.7500000,23.4500000,24.1200000,0
04/01/00,0000,24.1500000,24.5100000,20.5500000,23.4300000,0
05/01/00,0000,23.3300000,30.1200000,23.3300000,29.0300000,0
06/01/00,0000,29.0300000,31.6700000,27.8200000,31.3200000,0
07/01/00,0000,31.3000000,32.1800000,25.4000000,25.4300000,0
08/01/00,0000,25.4300000,35.0900000,25.3000000,34.8800000,0
09/01/00,0000,34.8800000,37.7300000,28.0500000,28.6200000,0
10/01/00,0000,28.2700000,34.5200000,28.2300000,30.6500000,0
11/01/00,0000,30.9700000,35.0600000,30.6300000,31.7300000,0
12/01/00,0000,31.7600000,32.0400000,21.4900000,22.5400000,0
01/01/01,0000,22.0000000,27.8800000,21.5700000,26.6800000,0
02/01/01,0000,26.5600000,30.9000000,24.7300000,24.7300000,0
03/01/01,0000,24.8800000,26.4600000,22.9700000,23.6300000,0
04/01/01,0000,23.8200000,27.7500000,23.0000000,27.2800000,0
05/01/01,0000,27.3000000,30.0000000,26.7200000,29.2100000,0
06/01/01,0000,29.1900000,29.6100000,25.1100000,26.4500000,0
07/01/01,0000,26.0700000,26.6600000,22.9200000,24.2500000,0
08/01/01,0000,24.6400000,27.0000000,24.3600000,26.7100000,0
09/01/01,0000,26.4900000,30.8500000,19.8200000,21.9600000,0
10/01/01,0000,21.9000000,21.9000000,19.6500000,19.7900000,0
11/01/01,0000,19.7700000,21.0900000,16.3600000,19.2900000,0
12/01/01,0000,18.5500000,20.3100000,17.2600000,19.3000000,0
01/01/02,0000,19.6000000,21.5800000,17.9400000,19.4100000,0
02/01/02,0000,19.4100000,21.8700000,19.1000000,21.0700000,0
03/01/02,0000,21.0600000,25.6000000,21.0600000,25.6000000,0
04/01/02,0000,25.6000000,27.5900000,22.1300000,27.0100000,0
05/01/02,0000,26.6600000,27.1700000,23.4900000,23.8900000,0
06/01/02,0000,23.4900000,25.4900000,22.6000000,25.4400000,0
07/01/02,0000,25.4400000,26.6700000,24.8300000,25.8500000,0
08/01/02,0000,25.8400000,28.1500000,25.1600000,27.3800000,0
09/01/02,0000,27.4300000,29.7500000,26.6400000,28.8700000,0
10/01/02,0000,28.8700000,29.4100000,25.2300000,25.6800000,0
11/01/02,0000,25.6800000,25.9300000,22.6100000,25.2000000,0
12/01/02,0000,24.9600000,32.4200000,24.9100000,29.9900000,0
01/01/03,0000,31.1300000,32.5600000,28.9700000,31.4500000,0
02/01/03,0000,31.5700000,34.4200000,30.4400000,33.9100000,0
03/01/03,0000,33.0600000,35.3300000,24.9800000,27.9800000,0
04/01/03,0000,28.1900000,28.1900000,23.0300000,23.5900000,0
05/01/03,0000,23.9100000,27.4100000,23.3700000,26.8000000,0
06/01/03,0000,26.4800000,28.8000000,26.0100000,28.1600000,0
07/01/03,0000,28.1600000,29.2700000,27.4000000,28.5900000,0
08/01/03,0000,28.5900000,30.7000000,28.5900000,30.0500000,0
09/01/03,0000,29.8000000,29.8000000,25.2400000,28.3400000,0
10/01/03,0000,28.3400000,31.8100000,27.5500000,27.9400000,0
11/01/03,0000,27.6600000,30.3600000,27.4300000,28.7600000,0
12/01/03,0000,28.7600000,31.4600000,28.1500000,30.4800000,0
01/01/04,0000,30.1200000,32.6700000,29.2900000,29.5100000,0
02/01/04,0000,29.2900000,33.0100000,28.8900000,33.0100000,0
03/01/04,0000,33.0100000,35.0700000,32.2900000,32.3600000,0
04/01/04,0000,32.3600000,35.3100000,30.9000000,35.1200000,0
05/01/04,0000,34.4700000,39.9500000,34.3700000,36.9800000,0
06/01/04,0000,38.0400000,39.4000000,32.3700000,33.5100000,0
07/01/04,0000,33.4800000,42.1900000,33.3000000,41.6000000,0
08/01/04,0000,41.3800000,46.1700000,39.2700000,39.3300000,0
09/01/04,0000,39.3800000,47.9000000,39.3800000,47.0800000,0
10/01/04,0000,47.0600000,52.3900000,46.2400000,48.7800000,0
11/01/04,0000,49.0200000,49.4200000,39.0300000,44.0300000,0
12/01/04,0000,43.7400000,43.8800000,35.7100000,40.2400000,0
01/01/05,0000,40.2400000,47.0900000,38.7400000,45.8700000,0
02/01/05,0000,45.4200000,50.2800000,41.6000000,50.1400000,0
03/01/05,0000,50.1200000,56.3300000,49.2800000,53.0500000,0
04/01/05,0000,53.0800000,55.9300000,48.5100000,49.3300000,0
05/01/05,0000,51.6500000,51.9200000,46.2000000,49.8300000,0
06/01/05,0000,49.7300000,58.9300000,49.7100000,54.8500000,0
07/01/05,0000,54.8700000,60.0200000,54.5300000,59.7000000,0
08/01/05,0000,59.5300000,68.7600000,59.5300000,66.6800000,0
09/01/05,0000,66.7000000,67.4700000,59.9200000,62.5600000,0
10/01/05,0000,62.9700000,63.1500000,55.8800000,58.3500000,0
11/01/05,0000,58.3300000,61.0800000,51.9100000,53.4100000,0
12/01/05,0000,53.4500000,59.8500000,53.0300000,58.8700000,0
01/01/06,0000,57.7300000,67.1100000,57.2600000,65.4300000,0
02/01/06,0000,65.3000000,66.5300000,55.9400000,60.0500000,0
03/01/06,0000,59.7600000,65.9600000,57.6100000,64.9400000,0
04/01/06,0000,65.6100000,74.8800000,64.8600000,72.0000000,0
05/01/06,0000,70.8100000,75.0000000,66.6600000,69.0000000,0
06/01/06,0000,69.0400000,73.6800000,65.5200000,73.2800000,0
07/01/06,0000,72.8800000,76.9000000,71.1700000,75.1600000,0
08/01/06,0000,75.1600000,78.7500000,67.5400000,69.6400000,0
09/01/06,0000,69.6900000,70.0500000,58.3200000,61.3700000,0
10/01/06,0000,60.8800000,61.6900000,55.5600000,56.9700000,0
11/01/06,0000,56.7100000,64.9300000,55.6600000,64.4200000,0
12/01/06,0000,63.0000000,65.4300000,59.3900000,60.1300000,0
01/01/07,0000,59.9900000,61.9800000,50.4000000,57.2100000,0
02/01/07,0000,57.2300000,61.2700000,54.3400000,60.6600000,0
03/01/07,0000,60.6900000,69.1800000,58.7000000,68.4200000,0
04/01/07,0000,67.7000000,69.7200000,64.2700000,67.2800000,0
05/01/07,0000,66.7500000,73.0600000,63.1900000,68.8200000,0
06/01/07,0000,68.8200000,73.7900000,68.3400000,73.2600000,0
07/01/07,0000,75.2400000,80.5300000,75.1400000,78.0500000,0
08/01/07,0000,78.0500000,78.8500000,68.1900000,73.5300000,0
09/01/07,0000,73.5300000,82.1700000,73.5300000,81.7500000,0
10/01/07,0000,82.0600000,91.1800000,76.9400000,91.1400000,532926
11/01/07,0000,91.0200000,96.6500000,87.4100000,88.0000000,753077
12/01/07,0000,87.9700000,95.8700000,86.5600000,93.8500000,582070
01/01/08,0000,94.4700000,98.5000000,85.0000000,91.9800000,714965
02/01/08,0000,91.9100000,101.2700000,86.8300000,100.0400000,720429
03/01/08,0000,100.1000000,107.9700000,96.9800000,100.5100000,626914
04/01/08,0000,100.5000000,117.5600000,99.0000000,112.7100000,668036
